"ticker_usd","ticker_gbp","ticker","symbol_gbp","name"
"VUAA","VUAG","VUAA.L","VUAG.L","Vanguard S&P 500 UCITS ETF USD (acc)"
"CNDX","CNX1","CNDX.L","CNX1.L","iShares NASDAQ 100 UCITS ETF USD (acc)"
"VWRA","VWRP","VWRA.L","VWRP.L","Vanguard FTSE All-World UCITS ETF USD (acc)"
"IWMO","IWFM","IWMO.L","IWFM.L","iShares Edge MSCI World Momentum Factor UCITS ETF USD (acc)"
"IWQU","IWFQ","IWQU.L","IWFQ.L","iShares Edge MSCI World Quality Factor UCITS ETF USD (acc)"
"IWVL","IWFV","IWVL.L","IWFV.L","IShares Edge MSCI World Value Factor UCITS ETF USD (acc)"
"WSML","WLDS","WSML.L","WLDS.L","iShares MSCI World Small Cap UCITS ETF USD (acc)"
"VFEA","VFEG","VFEA.L","VFEG.L","Vanguard FTSE Emerging Mkts UCITS ETF USD (acc)"
"IGIL","GILG","IGIL.L","GILG.L","iShares Global Inflation Lnked Govt Bonds UCITS ETF USD (acc)"
"IGLN","SGLN","IGLN.L","SGLN.L","iShares Physical Gold ETC USD (no income)"
